@relation 'allresults-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,2'

@attribute k numeric
@attribute accuracy numeric
@attribute tp numeric
@attribute fp numeric
@attribute tn numeric
@attribute precision numeric
@attribute f1 numeric
@attribute name {EuclideanDistance,ChebyshevDistance,ManhattanDistance,MinkowskiDistance05,MinkowskiDistance075,MinkowskiDistance3,MinkowskiDistance4,CanberraDistance,MeanAbsoluteError1,SumOfSquaredDifference,RodriguesDistance05,RodriguesDistance075,RodriguesDistance1,RodriguesDistance2,RodriguesDistance3,RodriguesDistance4}

@data
5,0.75,0.520147,0.15873,0.84127,?,?,ManhattanDistance
5,0.704545,0.699346,0.159647,0.840353,0.755577,0.716659,ManhattanDistance
11,0.737037,0.729167,0.270833,0.729167,0.735056,0.73083,ManhattanDistance
1,0.911681,0.883968,0.116032,0.883968,0.926147,0.899545,ManhattanDistance
19,0.973333,0.973333,0.013333,0.986667,0.973333,0.973333,ManhattanDistance
1,1,1,0,1,1,1,ManhattanDistance
3,0.95685,0.956626,0.001726,0.998274,0.956826,0.956676,ManhattanDistance
3,0.9515,0.9515,0.005389,0.994611,0.951713,0.951504,ManhattanDistance
6,0.8455,0.8455,0.017167,0.982833,0.846735,0.84522,ManhattanDistance
5,0.9745,0.9745,0.002833,0.997167,0.974778,0.974505,ManhattanDistance
9,0.518,0.518,0.053556,0.946444,0.510137,0.511301,ManhattanDistance
9,0.977,0.977,0.002556,0.997444,0.977356,0.977014,ManhattanDistance
15,0.8315,0.8315,0.018722,0.981278,0.828004,0.829269,ManhattanDistance
4,0.985943,0.985892,0.001563,0.998437,0.986283,0.985977,ManhattanDistance
4,0.958706,0.729544,0.052632,0.947368,0.824796,0.770114,ManhattanDistance
1,0.994269,0.994255,0.000637,0.999363,0.994315,0.99428,ManhattanDistance
1,0.974026,0.974026,0.004329,0.995671,0.974067,0.974007,ManhattanDistance
1,0.846154,0.844153,0.155847,0.844153,0.84647,0.844993,ManhattanDistance
1,0.849598,0.843009,0.156991,0.843009,0.842355,0.842677,ManhattanDistance
9,0.791822,0.639507,0.360493,0.639507,0.668965,0.650649,ManhattanDistance
5,0.7625,0.7625,0.2375,0.7625,0.838983,0.748303,ManhattanDistance
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,ManhattanDistance
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,ManhattanDistance
1,0.635762,0.635228,0.182368,0.817632,0.636206,0.635347,ManhattanDistance
6,0.679669,0.68372,0.107046,0.892954,0.667408,0.671998,ManhattanDistance
49,0.8552,0.855804,0.072318,0.927682,0.857175,0.854514,ManhattanDistance
1,0.837079,0.837874,0.080979,0.919021,0.832323,0.834291,ManhattanDistance
97,0.9104,0.658565,0.055391,0.944609,?,?,MinkowskiDistance05
39,0.549219,0.527915,0.230766,0.769234,0.537875,0.528576,MinkowskiDistance05
23,0.760417,0.7,0.3,0.7,0.749404,0.711589,MinkowskiDistance05
