@relation 'allresults-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,2'

@attribute k numeric
@attribute accuracy numeric
@attribute tp numeric
@attribute fp numeric
@attribute tn numeric
@attribute precision numeric
@attribute f1 numeric
@attribute name {EuclideanDistance,ChebyshevDistance,ManhattanDistance,MinkowskiDistance05,MinkowskiDistance075,MinkowskiDistance3,MinkowskiDistance4,CanberraDistance,MeanAbsoluteError1,SumOfSquaredDifference,RodriguesDistance05,RodriguesDistance075,RodriguesDistance1,RodriguesDistance2,RodriguesDistance3,RodriguesDistance4}

@data
25,0.696296,0.685833,0.314167,0.685833,0.693756,0.687217,SumOfSquaredDifference
1,0.860399,0.814286,0.185714,0.814286,0.887931,0.834874,SumOfSquaredDifference
19,0.98,0.98,0.01,0.99,0.980125,0.979998,SumOfSquaredDifference
1,1,1,0,1,1,1,SumOfSquaredDifference
1,0.9604,0.960204,0.001584,0.998416,0.960305,0.960212,SumOfSquaredDifference
3,0.954,0.954,0.005111,0.994889,0.954164,0.953982,SumOfSquaredDifference
9,0.85,0.85,0.016667,0.983333,0.852136,0.850093,SumOfSquaredDifference
6,0.9775,0.9775,0.0025,0.9975,0.977692,0.977503,SumOfSquaredDifference
45,0.4995,0.4995,0.055611,0.944389,0.48825,0.486455,SumOfSquaredDifference
6,0.978,0.978,0.002444,0.997556,0.978172,0.97801,SumOfSquaredDifference
14,0.8255,0.8255,0.019389,0.980611,0.824609,0.824528,SumOfSquaredDifference
4,0.988612,0.988596,0.001266,0.998734,0.988785,0.98865,SumOfSquaredDifference
4,0.957976,0.720953,0.054691,0.945309,0.818067,0.762765,SumOfSquaredDifference
1,0.993723,0.993715,0.000698,0.999302,0.993764,0.993736,SumOfSquaredDifference
1,0.965368,0.965368,0.005772,0.994228,0.965717,0.965364,SumOfSquaredDifference
1,0.831731,0.82869,0.17131,0.82869,0.833239,0.829998,SumOfSquaredDifference
1,0.824821,0.816295,0.183705,0.816295,0.816664,0.816478,SumOfSquaredDifference
49,0.791822,0.571963,0.428037,0.571963,0.6497,0.580156,SumOfSquaredDifference
3,0.7375,0.7375,0.2625,0.7375,0.765549,0.73038,SumOfSquaredDifference
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,SumOfSquaredDifference
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,SumOfSquaredDifference
1,0.615894,0.61574,0.192368,0.807632,0.617474,0.616082,SumOfSquaredDifference
3,0.654846,0.658842,0.115343,0.884657,0.646654,0.651725,SumOfSquaredDifference
29,0.8562,0.856678,0.071838,0.928162,0.85739,0.855822,SumOfSquaredDifference
1,0.752809,0.74659,0.125426,0.874574,0.747714,0.747116,SumOfSquaredDifference
68,0.9104,0.658565,0.055391,0.944609,?,?,RodriguesDistance05
30,0.547862,0.525197,0.231428,0.768572,0.537018,0.526297,RodriguesDistance05
17,0.75651,0.703925,0.296075,0.703925,0.738249,0.713693,RodriguesDistance05
8,0.860119,0.626186,0.022811,0.977189,?,?,RodriguesDistance05
4,0.724299,0.695072,0.06461,0.93539,0.714274,0.697642,RodriguesDistance05
11,0.751634,0.590123,0.409877,0.590123,0.673168,0.595801,RodriguesDistance05
7,0.75,0.520147,0.15873,0.84127,?,?,RodriguesDistance05
1,0.719697,0.707843,0.151416,0.848584,0.76971,0.726876,RodriguesDistance05
39,0.807407,0.793333,0.206667,0.793333,0.822423,0.79809,RodriguesDistance05
1,0.920228,0.894127,0.105873,0.894127,0.93497,0.909469,RodriguesDistance05
13,0.966667,0.966667,0.016667,0.983333,0.966787,0.966663,RodriguesDistance05
1,1,1,0,1,1,1,RodriguesDistance05
3,0.94755,0.947306,0.002098,0.997902,0.947619,0.947389,RodriguesDistance05
5,0.9545,0.9545,0.005056,0.994944,0.954482,0.954432,RodriguesDistance05
7,0.8325,0.8325,0.018611,0.981389,0.8365,0.833061,RodriguesDistance05
3,0.971,0.971,0.003222,0.996778,0.971332,0.970958,RodriguesDistance05
8,0.5805,0.5805,0.046611,0.953389,0.577271,0.575901,RodriguesDistance05
7,0.977,0.977,0.002556,0.997444,0.977295,0.976955,RodriguesDistance05
15,0.8245,0.8245,0.0195,0.9805,0.822888,0.82318,RodriguesDistance05
4,0.980071,0.979987,0.002216,0.997784,0.980625,0.980087,RodriguesDistance05
6,0.961995,0.734217,0.050033,0.949967,0.838913,0.777497,RodriguesDistance05
1,0.992358,0.992388,0.00085,0.99915,0.992424,0.992401,RodriguesDistance05
1,0.974459,0.974459,0.004257,0.995743,0.974575,0.974443,RodriguesDistance05
1,0.846154,0.842853,0.157147,0.842853,0.848551,0.844413,RodriguesDistance05
7,0.88872,0.876351,0.123649,0.876351,0.889146,0.881671,RodriguesDistance05
5,0.802974,0.707307,0.292693,0.707307,0.699379,0.703134,RodriguesDistance05
5,0.75,0.75,0.25,0.75,0.833333,0.733333,RodriguesDistance05
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,RodriguesDistance05
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,RodriguesDistance05
1,0.642384,0.642166,0.178902,0.821098,0.642408,0.642246,RodriguesDistance05
7,0.706856,0.710549,0.097945,0.902055,0.690364,0.696796,RodriguesDistance05
47,0.851,0.851751,0.074399,0.925601,0.85368,0.849902,RodriguesDistance05
5,0.893258,0.89798,0.052973,0.947027,0.890494,0.893134,RodriguesDistance05
66,0.9088,0.657407,0.05638,0.94362,?,?,RodriguesDistance075
22,0.547862,0.526188,0.232369,0.767631,0.533877,0.527664,RodriguesDistance075
15,0.760417,0.713851,0.286149,0.713851,0.740338,0.722465,RodriguesDistance075
8,0.857143,0.624563,0.023043,0.976957,?,?,RodriguesDistance075
1,0.733645,0.679928,0.06078,0.93922,0.698948,0.687543,RodriguesDistance075
27,0.767974,0.597284,0.402716,0.597284,0.727775,0.603735,RodriguesDistance075
17,0.714286,0.496337,0.180952,0.819048,?,?,RodriguesDistance075
5,0.719697,0.721569,0.151416,0.848584,0.765107,0.736265,RodriguesDistance075
25,0.762963,0.75,0.25,0.75,0.769397,0.753086,RodriguesDistance075
1,0.917379,0.890159,0.109841,0.890159,0.933018,0.906026,RodriguesDistance075
21,0.973333,0.973333,0.013333,0.986667,0.973333,0.973333,RodriguesDistance075
1,1,1,0,1,1,1,RodriguesDistance075
1,0.95625,0.956039,0.00175,0.99825,0.956168,0.956062,RodriguesDistance075
3,0.9515,0.9515,0.005389,0.994611,0.951765,0.951467,RodriguesDistance075
5,0.8395,0.8395,0.017833,0.982167,0.841249,0.839293,RodriguesDistance075
5,0.9745,0.9745,0.002833,0.997167,0.974773,0.974475,RodriguesDistance075
8,0.523,0.523,0.053,0.947,0.517122,0.517244,RodriguesDistance075
9,0.9785,0.9785,0.002389,0.997611,0.979006,0.978539,RodriguesDistance075
7,0.83,0.83,0.018889,0.981111,0.827172,0.828317,RodriguesDistance075
4,0.983986,0.983928,0.001781,0.998219,0.984411,0.98402,RodriguesDistance075
6,0.960534,0.724326,0.054177,0.945823,0.856877,0.778166,RodriguesDistance075
1,0.994541,0.994532,0.000607,0.999393,0.994577,0.99455,RodriguesDistance075
1,0.974026,0.974026,0.004329,0.995671,0.974011,0.973988,RodriguesDistance075
1,0.850962,0.849308,0.150692,0.849308,0.850971,0.849959,RodriguesDistance075
1,0.852641,0.845326,0.154674,0.845326,0.845865,0.845593,RodriguesDistance075
13,0.802974,0.646517,0.353483,0.646517,0.688264,0.661233,RodriguesDistance075
5,0.7375,0.7375,0.2625,0.7375,0.827869,0.718073,RodriguesDistance075
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,RodriguesDistance075
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,RodriguesDistance075
1,0.642384,0.641894,0.179034,0.820966,0.64264,0.641732,RodriguesDistance075
5,0.690307,0.694035,0.103515,0.896485,0.676937,0.682826,RodriguesDistance075
49,0.8556,0.856253,0.072109,0.927891,0.857857,0.854797,RodriguesDistance075
1,0.853933,0.858707,0.072261,0.927739,0.851451,0.853251,RodriguesDistance075
101,0.904,0.653935,0.059347,0.940653,?,?,RodriguesDistance1
28,0.550577,0.526112,0.231016,0.768984,0.535644,0.527439,RodriguesDistance1
19,0.764323,0.714254,0.285746,0.714254,0.747229,0.724177,RodriguesDistance1
6,0.863095,0.62859,0.02198,0.97802,?,?,RodriguesDistance1
1,0.738318,0.698054,0.059405,0.940595,0.702324,0.696039,RodriguesDistance1
27,0.767974,0.601235,0.398765,0.601235,0.722826,0.609322,RodriguesDistance1
9,0.642857,0.450549,0.22381,0.77619,?,?,RodriguesDistance1
6,0.727273,0.723529,0.147301,0.852699,0.775732,0.738579,RodriguesDistance1
5,0.718519,0.709167,0.290833,0.709167,0.716578,0.710839,RodriguesDistance1
1,0.91453,0.88619,0.11381,0.88619,0.931077,0.902565,RodriguesDistance1
11,0.973333,0.973333,0.013333,0.986667,0.973333,0.973333,RodriguesDistance1
1,1,1,0,1,1,1,RodriguesDistance1
1,0.96,0.959811,0.0016,0.9984,0.959902,0.959818,RodriguesDistance1
3,0.952,0.952,0.005333,0.994667,0.952167,0.952003,RodriguesDistance1
5,0.845,0.845,0.017222,0.982778,0.846913,0.8449,RodriguesDistance1
4,0.975,0.975,0.002778,0.997222,0.975246,0.974974,RodriguesDistance1
45,0.503,0.503,0.055222,0.944778,0.491841,0.489801,RodriguesDistance1
9,0.977,0.977,0.002556,0.997444,0.977356,0.977014,RodriguesDistance1
7,0.835,0.835,0.018333,0.981667,0.831844,0.833145,RodriguesDistance1
1,0.986477,0.98646,0.001504,0.998496,0.986653,0.986511,RodriguesDistance1
4,0.959803,0.721585,0.053356,0.946644,0.83689,0.770647,RodriguesDistance1
1,0.994632,0.994612,0.000597,0.999403,0.994664,0.994634,RodriguesDistance1
1,0.967532,0.967532,0.005411,0.994589,0.968119,0.967587,RodriguesDistance1
1,0.841346,0.838999,0.161001,0.838999,0.842016,0.840011,RodriguesDistance1
1,0.841121,0.833507,0.166493,0.833507,0.8337,0.833603,RodriguesDistance1
9,0.810409,0.664698,0.335302,0.664698,0.703325,0.67929,RodriguesDistance1
5,0.7625,0.7625,0.2375,0.7625,0.838983,0.748303,RodriguesDistance1
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,RodriguesDistance1
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,RodriguesDistance1
1,0.622517,0.622151,0.189266,0.810734,0.626939,0.623201,RodriguesDistance1
3,0.677305,0.680921,0.107868,0.892132,0.665809,0.671651,RodriguesDistance1
49,0.8562,0.856823,0.071812,0.928188,0.858329,0.855505,RodriguesDistance1
1,0.786517,0.782463,0.107599,0.892401,0.781333,0.78186,RodriguesDistance1
24,0.9024,0.652778,0.060336,0.939664,?,?,RodriguesDistance2
22,0.556687,0.532435,0.228103,0.771897,0.541495,0.533641,RodriguesDistance2
19,0.746094,0.697657,0.302343,0.697657,0.722768,0.705544,RodriguesDistance2
9,0.872024,0.643151,0.02074,0.97926,?,?,RodriguesDistance2
1,0.733645,0.713348,0.060936,0.939064,0.712518,0.710138,RodriguesDistance2
41,0.777778,0.611852,0.388148,0.611852,0.753766,0.62318,RodriguesDistance2
9,0.642857,0.450549,0.22381,0.77619,?,?,RodriguesDistance2
6,0.734848,0.734641,0.143186,0.856814,0.781778,0.748417,RodriguesDistance2
27,0.692593,0.680833,0.319167,0.680833,0.690697,0.682123,RodriguesDistance2
13,0.863248,0.818254,0.181746,0.818254,0.889842,0.83867,RodriguesDistance2
7,0.98,0.98,0.01,0.99,0.980125,0.979998,RodriguesDistance2
1,1,1,0,1,1,1,RodriguesDistance2
1,0.95825,0.958052,0.00167,0.99833,0.958149,0.958061,RodriguesDistance2
3,0.9545,0.9545,0.005056,0.994944,0.95475,0.954476,RodriguesDistance2
10,0.8475,0.8475,0.016944,0.983056,0.849001,0.847005,RodriguesDistance2
5,0.975,0.975,0.002778,0.997222,0.975228,0.975011,RodriguesDistance2
45,0.4995,0.4995,0.055611,0.944389,0.48825,0.486455,RodriguesDistance2
6,0.978,0.978,0.002444,0.997556,0.978172,0.97801,RodriguesDistance2
11,0.8225,0.8225,0.019722,0.980278,0.821268,0.821558,RodriguesDistance2
3,0.988612,0.988588,0.001266,0.998734,0.988739,0.988632,RodriguesDistance2
4,0.959072,0.721201,0.053508,0.946492,0.82308,0.764774,RodriguesDistance2
1,0.993359,0.993358,0.000739,0.999261,0.993401,0.993376,RodriguesDistance2
1,0.962338,0.962338,0.006277,0.993723,0.96272,0.962341,RodriguesDistance2
1,0.836538,0.833844,0.166156,0.833844,0.837607,0.835013,RodriguesDistance2
1,0.820908,0.812874,0.187126,0.812874,0.812396,0.812632,RodriguesDistance2
33,0.788104,0.576381,0.423619,0.576381,0.642292,0.585785,RodriguesDistance2
3,0.75,0.75,0.25,0.75,0.766667,0.746032,RodriguesDistance2
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,RodriguesDistance2
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,RodriguesDistance2
1,0.609272,0.609074,0.195703,0.804297,0.610751,0.609552,RodriguesDistance2
3,0.630024,0.633651,0.123673,0.876327,0.622161,0.626673,RodriguesDistance2
45,0.856,0.856587,0.071913,0.928087,0.858034,0.855431,RodriguesDistance2
1,0.735955,0.725757,0.134457,0.865543,0.728638,0.726689,RodriguesDistance2
24,0.9024,0.652778,0.060336,0.939664,?,?,RodriguesDistance3
22,0.556687,0.532435,0.228109,0.771891,0.541897,0.53372,RodriguesDistance3
19,0.748698,0.698791,0.301209,0.698791,0.726654,0.707243,RodriguesDistance3
9,0.866071,0.63411,0.021688,0.978312,?,?,RodriguesDistance3
1,0.728972,0.714836,0.061504,0.938496,0.703737,0.706038,RodriguesDistance3
17,0.77451,0.629383,0.370617,0.629383,0.721617,0.644611,RodriguesDistance3
9,0.642857,0.450549,0.22381,0.77619,?,?,RodriguesDistance3
6,0.734848,0.734641,0.143186,0.856814,0.781778,0.748417,RodriguesDistance3
29,0.685185,0.670833,0.329167,0.670833,0.684962,0.671556,RodriguesDistance3
15,0.866097,0.81873,0.18127,0.81873,0.899646,0.840764,RodriguesDistance3
11,0.986667,0.986667,0.006667,0.993333,0.986667,0.986667,RodriguesDistance3
1,1,1,0,1,1,1,RodriguesDistance3
1,0.9576,0.957393,0.001696,0.998304,0.957474,0.957395,RodriguesDistance3
3,0.956,0.956,0.004889,0.995111,0.956147,0.955992,RodriguesDistance3
4,0.847,0.847,0.017,0.983,0.849244,0.847367,RodriguesDistance3
1,0.9745,0.9745,0.002833,0.997167,0.974575,0.974508,RodriguesDistance3
47,0.499,0.499,0.055667,0.944333,0.489756,0.486276,RodriguesDistance3
4,0.978,0.978,0.002444,0.997556,0.978127,0.977983,RodriguesDistance3
11,0.827,0.827,0.019222,0.980778,0.825415,0.825802,RodriguesDistance3
1,0.987189,0.987177,0.001424,0.998576,0.98728,0.987198,RodriguesDistance3
1,0.956879,0.752367,0.048842,0.951158,0.782284,0.766314,RodriguesDistance3
4,0.992813,0.992855,0.000799,0.999201,0.992857,0.992848,RodriguesDistance3
1,0.958874,0.958874,0.006854,0.993146,0.959247,0.958851,RodriguesDistance3
1,0.836538,0.833194,0.166806,0.833194,0.838731,0.834689,RodriguesDistance3
1,0.81591,0.807592,0.192408,0.807592,0.80718,0.807384,RodriguesDistance3
23,0.799257,0.603653,0.396347,0.603653,0.675287,0.6191,RodriguesDistance3
3,0.75,0.75,0.25,0.75,0.766667,0.746032,RodriguesDistance3
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,RodriguesDistance3
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,RodriguesDistance3
1,0.609272,0.609074,0.195802,0.804198,0.611958,0.609871,RodriguesDistance3
6,0.620567,0.624585,0.126728,0.873272,0.610835,0.615185,RodriguesDistance3
47,0.8498,0.850407,0.075002,0.924998,0.852351,0.849205,RodriguesDistance3
18,0.724719,0.72598,0.134388,0.865612,0.723245,0.719532,RodriguesDistance3
24,0.9024,0.652778,0.060336,0.939664,?,?,RodriguesDistance4
22,0.556687,0.532435,0.228109,0.771891,0.541897,0.53372,RodriguesDistance4
19,0.740885,0.688463,0.311537,0.688463,0.717469,0.696747,RodriguesDistance4
9,0.863095,0.632486,0.022103,0.977897,?,?,RodriguesDistance4
1,0.724299,0.694404,0.062455,0.937545,0.690678,0.690762,RodriguesDistance4
19,0.77451,0.621481,0.378519,0.621481,0.727778,0.635431,RodriguesDistance4
9,0.642857,0.450549,0.22381,0.77619,?,?,RodriguesDistance4
6,0.734848,0.734641,0.143186,0.856814,0.781778,0.748417,RodriguesDistance4
17,0.685185,0.676667,0.323333,0.676667,0.681207,0.677755,RodriguesDistance4
15,0.866097,0.81873,0.18127,0.81873,0.899646,0.840764,RodriguesDistance4
11,0.986667,0.986667,0.006667,0.993333,0.986667,0.986667,RodriguesDistance4
1,1,1,0,1,1,1,RodriguesDistance4
1,0.9575,0.957293,0.0017,0.9983,0.957375,0.957295,RodriguesDistance4
4,0.956,0.956,0.004889,0.995111,0.956195,0.955999,RodriguesDistance4
7,0.8505,0.8505,0.016611,0.983389,0.85215,0.850071,RodriguesDistance4
3,0.973,0.973,0.003,0.997,0.973161,0.973004,RodriguesDistance4
47,0.499,0.499,0.055667,0.944333,0.489756,0.486276,RodriguesDistance4
3,0.9785,0.9785,0.002389,0.997611,0.978557,0.978463,RodriguesDistance4
11,0.8265,0.8265,0.019278,0.980722,0.825239,0.825513,RodriguesDistance4
4,0.987367,0.987362,0.001404,0.998596,0.98744,0.987384,RodriguesDistance4
4,0.957062,0.710562,0.055202,0.944798,0.802343,0.749603,RodriguesDistance4
4,0.992449,0.992483,0.00084,0.99916,0.992492,0.99248,RodriguesDistance4
1,0.95671,0.95671,0.007215,0.992785,0.957045,0.956668,RodriguesDistance4
1,0.841346,0.837699,0.162301,0.837699,0.844318,0.839382,RodriguesDistance4
1,0.813953,0.805303,0.194697,0.805303,0.805185,0.805244,RodriguesDistance4
27,0.810409,0.617417,0.382583,0.617417,0.704801,0.636727,RodriguesDistance4
3,0.7375,0.7375,0.2625,0.7375,0.750165,0.734135,RodriguesDistance4
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,RodriguesDistance4
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,RodriguesDistance4
1,0.609272,0.609074,0.195802,0.804198,0.611958,0.609871,RodriguesDistance4
6,0.615839,0.619871,0.12827,0.87173,0.607426,0.611248,RodriguesDistance4
39,0.8468,0.847347,0.076526,0.923474,0.848437,0.846297,RodriguesDistance4
18,0.724719,0.72598,0.134388,0.865612,0.723245,0.719532,RodriguesDistance4
